model,experiment_family,training_regime,uncertainty_enabled,comparison_group,epochs,run_max_epochs,source,output_dir,accuracy,precision_macro,recall_macro,f1_macro,f1_weighted,eval_loss,training_time_seconds,epoch_duration_seconds,trainable_params,trainable_pct,n_train,n_test
baseline,baseline,full_finetune,False,baseline,3,3,2026-03-13_focus_v2,C:\Users\alvin\Downloads\skripsi\models\archive\2026-03-13_focus_v2\baseline\epoch_3,0.9585096596136155,,,0.7968268758244902,0.9563193129843769,,,,,,39132,10870
lora,lora,peft,False,peft,3,3,2026-03-13_focus_v2,C:\Users\alvin\Downloads\skripsi\models\archive\2026-03-13_focus_v2\lora\epoch_3,0.9603495860165593,,,0.7934498965601012,0.9571961600550396,,1901.61,,592131.0,0.47,39132,10870
baseline,baseline,full_finetune,False,baseline,5,5,2026-03-13_focus_v2,C:\Users\alvin\Downloads\skripsi\models\archive\2026-03-13_focus_v2\baseline\epoch_5,0.9558417663293468,,,0.7896015314859984,0.9539264541509548,,,,,,39132,10870
lora,lora,peft,False,peft,5,5,2026-03-13_focus_v2,C:\Users\alvin\Downloads\skripsi\models\archive\2026-03-13_focus_v2\lora\epoch_5,0.9612695492180313,,,0.8030709540640083,0.9588062965884516,,3226.14,,592131.0,0.47,39132,10870
